id,price,size,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_days_in_year,number_of_rooms,neighbourhood,room_type
2015,60,474,4,118,3.76,4,141,9,Mitte,Entire home_apt
2695,17,155,2,6,1.42,1,0,3,Pankow,Private room
3176,90,770,62,143,1.25,1,220,3,Pankow,Entire home_apt
3309,26,297,5,25,0.39,1,297,9,Tempelhof - Schoneberg,Private room
7071,42,396,2,197,1.75,1,26,2,Pankow,Private room
9991,180,214,6,6,0.15,1,137,6,Pankow,Entire home_apt
14325,70,152,90,23,0.23,3,129,2,Pankow,Entire home_apt
16401,120,341,30,0,0,1,365,1,Friedrichshain-Kreuzberg,Private room
16644,90,512,60,48,0.47,2,159,10,Friedrichshain-Kreuzberg,Entire home_apt
17409,45,222,3,279,2.83,1,42,1,Pankow,Private room
17904,49,153,5,223,2.1,1,232,2,Neukolln,Entire home_apt
20858,129,164,3,56,0.75,1,166,6,Pankow,Entire home_apt
21869,70,303,60,60,0.61,2,129,1,Friedrichshain-Kreuzberg,Entire home_apt
22415,98,234,3,61,0.59,2,257,1,Friedrichshain-Kreuzberg,Entire home_apt
22677,160,301,3,223,2.27,1,228,10,Mitte,Entire home_apt
23834,65,692,60,96,0.94,1,275,1,Friedrichshain-Kreuzberg,Entire home_apt
24569,90,647,3,18,0.18,2,3,1,Pankow,Entire home_apt
25653,90,778,4,5,0.05,2,15,8,Pankow,Entire home_apt
26543,197,730,3,163,1.63,1,336,7,Pankow,Entire home_apt
28156,70,366,90,28,0.29,3,191,2,Pankow,Entire home_apt
28268,90,236,5,30,0.33,1,55,8,Friedrichshain-Kreuzberg,Entire home_apt
28711,60,562,2,1,0.02,10,341,1,Neukolln,Entire home_apt
29279,130,556,60,69,0.7,3,221,10,Pankow,Entire home_apt
30295,100,674,4,240,2.42,4,296,1,Pankow,Entire home_apt
31440,44,598,1,28,4.94,1,361,8,Pankow,Private room
33043,62,683,3,144,1.44,1,343,3,Mitte,Entire home_apt
35642,55,315,60,1,0.01,1,89,3,Pankow,Entire home_apt
36480,40,676,1,33,1.63,2,297,5,Charlottenburg-Wilm.,Private room
37004,25,234,5,21,0.21,1,329,1,Tempelhof - Schoneberg,Private room
37052,52,529,2,307,3.04,2,25,9,Mitte,Entire home_apt
37836,39,565,1,161,1.59,2,120,9,Friedrichshain-Kreuzberg,Private room
